Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Agnes,Mattsson,Kyrkostigen 9,Kristianstad,44695,Sverige,SE,19580706-4524,+46,+46 (0)40 24 25 70,1958-07-06,True
Arne,Karlsen,Engenjordet 05C,Halvorsen,9490,Norge,NO,19711212-5199,+47,42081810,1971-12-12,True
Leah,Lee,Lisa Lodge 09416,New Clinton,55228,Danmark,DK,19950827-4523,+45,+1-483-339-9253,1995-08-27,True
Håkon,Bakke,Mathisenhaugen 142,Strand,1506,Norge,NO,19790207-1595,+47,+4769907465,1979-02-07,True
Marianne,Hermansson,Kyrkvägen 995,Skellefteå,47702,Sverige,SE,19441013-4731,+46,08-033 43 57,1944-10-13,True
Magnus,Lindholm,Bäckstigen 750,Eskilstuna,52632,Sverige,SE,19460704-0550,+46,+46 (0)8 934 088 70,1946-07-04,True
Ulf,Viklund,Kyrkogatan 03,Piteå,18874,Sverige,SE,19530528-2213,+46,025-003 08 05,1953-05-28,True
Marie,Svensson,Fabriksstigen 31,Örnsköldsvik,51867,Norge,SE,19410510-9089,+46,08-588 56 08,1941-05-10,True
Jeanette,Lundqvist,Kyrkogatan 26,Örnsköldsvik,10791,Norge,SE,19800507-2067,+46,08-667 186 42,1980-05-07,True
Johanna,Persson,Skogsgatan 54,Karlstad,89041,Sverige,SE,19840623-4914,+46,0378-79 06 30,1984-06-23,True
Rita,Pedersen,Jensenstubben 97F,Mortensand,8240,Norge,NO,19570825-0600,+47,57936023,1957-08-25,True
Karl,Haugland,Bøegrenda 4,Thorsen,1492,Norge,NO,19731102-9078,+47,98414500,1973-11-02,True
Ellen,Haugland,Bergholtet 32,Mathiasstrøm,5694,Norge,NO,19900331-6714,+47,949 01 975,1990-03-31,True
Tamara,Anderson,Nicole Drive 49319,New Cindy,11422,Danmark,DK,19930508-4620,+45,(660)709-7968x8051,1993-05-08,True
Jens,Birkeland,Sæthertjernet 646,Monavik,2873,Norge,NO,19530822-5709,+47,+4736522116,1953-08-22,True
Daniel,Andersson,Parkvägen 870,Stockholm,52732,Sverige,SE,19730410-6125,+46,0026-82 71 85,1973-04-10,True
Linda,Pettersen,Bergløkka 36E,Strand,4890,Norge,NO,19870216-6944,+47,33784581,1987-02-16,True
Siri,Birkeland,Johnsenalléen 6,Jørgendal,7076,Norge,NO,19630610-0654,+47,40 84 35 09,1963-06-10,True
Magne,Solberg,Næssengen 9,Solveigberg,0426,Norge,NO,19801113-4813,+47,91124513,1980-11-13,True
Ann,Hauge,Aasenbakken 8,Madsen,0799,Norge,NO,19720704-8754,+47,+4706302384,1972-07-04,True
Elisabet,Pettersson,Furugatan 283,Nyköping,62531,Sverige,SE,19761024-0343,+46,08-444 01 72,1976-10-24,True
Brianna,Fernandez,Rogers Lane 3269,East Jonathanborough,69558,Danmark,DK,19690514-9564,+45,466-473-4815x9457,1969-05-14,True
Karin,Andersen,Johnsenhøgda 1,Lien,4807,Norge,NO,19910527-0354,+47,12 43 35 54,1991-05-27,True
Michael,Steele,Atkinson Islands 44130,Nancychester,67855,Danmark,DK,19910220-2163,+45,+1-761-459-2491x69900,1991-02-20,True
Bjørn,Tangen,Paulsenstranda 1,Irenefoss,4925,Norge,NO,19471220-8998,+47,73 05 71 64,1947-12-20,True
Anna,Nilsson,Järnvägsgränd 2,Borås,35727,Sverige,SE,19440515-8974,+46,08-24 90 10,1944-05-15,True
Ashley,Chen,Gomez Isle 285,New Colleenland,45895,Danmark,DK,19941123-2691,+45,477.378.7568x738,1994-11-23,True
Josefine,Larsson,Storgränd 218,Örebro,63118,Sverige,SE,19920906-0982,+46,08-718 524 85,1992-09-06,True
Martine,Thorsen,Aunemoen 1,Hansen,0418,Norge,NO,19910612-2753,+47,432 91 853,1991-06-12,True
Madeleine,Josefsson,Trädgårdsstigen 350,Uppsala,73749,Sverige,SE,19920526-9062,+46,013-852 09 45,1992-05-26,True
Virginia,Perry,Melissa Orchard 4711,Christopherchester,38982,Danmark,DK,20000109-7970,+45,252.208.0217x720,2000-01-09,True
Marie,Berge,Amundsenholtet 5,Martinesjøen,8347,Norge,NO,19620921-0473,+47,00885358,1962-09-21,True
Ingeborg,Lindberg,Järnvägsgränd 4,Stockholm,13704,Sverige,SE,19620824-9466,+46,+46 (0)81 57 31 97,1962-08-24,True
Mona,Isaksson,Nystigen 3,Mölndal,21231,Sverige,SE,19760916-9045,+46,08-916 94 51,1976-09-16,True
Ricky,Grant,Leonard Track 05918,Taylorborough,03628,Danmark,DK,19400125-0265,+45,346-663-5038,1940-01-25,True
Jon,Myklebust,Kristiansenfaret 23,Hagen,3619,Norge,NO,19681011-0196,+47,14 05 01 73,1968-10-11,True
John,Coleman,Michael Path 0828,Port Jacobmouth,08818,Danmark,DK,19721229-3954,+45,985.701.3821,1972-12-29,True
Kristin,Hopkins,Thompson Hill 78610,Samanthabury,55581,Danmark,DK,19610106-1152,+45,(489)897-7147x0402,1961-01-06,True
Esteri,Mustonen,Döbelninkatu 029,Sodankylä,27728,Finland,FI,19440311-3602,+358,081 963 3148,1944-03-11,True
Tiffany,Gonzalez,Bryant Square 6868,Lake Paul,44927,Danmark,DK,19570712-1235,+45,564-211-5605x860,1957-07-12,True
Charlotte,Karlsson,Aspstigen 14,Umeå,27272,Sierige,SE,19421114-5431,+46,0860-773 60,1942-11-14,True
Peter,Gustafsson,Björkvägen 3,Motala,62989,Sverige,SE,19591028-2112,+46,08-931 69 77,1959-10-28,True
Gunnar,Axelsson,Björkvägen 8,Skellefteå,43039,Sverige,SE,19620121-1720,+46,+46 (0)024 065 91,1962-01-21,True
Solveig,Sandberg,Björktorget 31,Karlskrona,56644,Sverige,SE,19960607-6942,+46,0540-29 22 38,1996-06-07,True
Johannes,Johansson,Parktorget 16,Sandviken,31356,Sverige,SE,19940316-3793,+46,074-993 28 21,1994-03-16,True
Joshua,Bates,Evans Mountain 848,Henrytown,77909,Danmark,DK,19560902-8352,+45,001-626-724-1550x1901,1956-09-02,True
Kyle,Humphrey,Matthews Springs 721,New Carlosport,58065,Danmark,DK,19991214-8801,+45,739.493.2659,1999-12-14,True
Ernst,Hellström,Björkgränd 63,Borlänge,63127,Sverige,SE,19731020-8519,+46,08-792 323 08,1973-10-20,True
Kjetil,Aasen,Solbergfaret 6,Kristianfjell,6983,Norge,NO,19600729-8099,+47,+4737579843,1960-07-29,True
Margareta,Jansson,Ängstorget 4,Varberg,91527,Sverige,SE,19620405-5208,+46,+46 (0)926 421 97,1962-04-05,True
Oskar,Mattsson,Järnvägsstigen 363,Mölndal,25313,Sverige,SE,19920318-4321,+46,+46 (0)8 516 468 59,1992-03-18,True
Jörgen,Ljungberg,Kvarnvägen 4,Uppsala,73036,Sverige,SE,19500314-2717,+46,0044-873 20,1950-03-14,True
Stig,Lindgren,Kyrkvägen 960,Lund,13549,Sverige,SE,19600611-0573,+46,+46 (0)8 551 142 13,1960-06-11,True
Frode,Knutsen,Engenberget 9,Aasen,7244,Norge,NO,19901018-7937,+47,+4730900292,1990-10-18,True
Erik,Persson,Åkervägen 18,Jönköping,93991,Sverige,SE,19660616-5143,+46,+46 (0)8 764 549 80,1966-06-16,False
Peter,Carlsson,Kvarnvägen 127,Ängelholm,84649,Sverige,SE,19990621-2231,+46,+46 (0)228 037 04,1999-06-21,True
Cathrine,Lund,Aasenmoen 42,Anitahelle,1043,Norge,NO,19860123-6702,+47,84 46 96 47,1986-01-23,True
Tore,Pedersen,Nytorget 7,Falun,75770,Sverige,SE,19640524-0105,+46,026-23 99 57,1964-05-24,True
Gabriela,Parker,Levi Parkway 780,New Ronald,23225,Danmark,DK,19440214-7443,+45,+1-635-735-7754x8269,1944-02-14,True
Karoline,Ellingsen,Brekkelia 13,Henriksen,8192,Norge,NO,19810111-5557,+47,948 01 614,1981-01-11,True
Kenneth,Simonsen,Sørensenhavna 713,Astridstrand,6862,Norge,NO,19650307-3486,+47,440 90 543,1965-03-07,True
Peter,Jönsson,Ringtorget 28,Luleå,21142,Sverige,SE,19480213-2130,+46,0589-60 08 13,1948-02-13,True
Karl,Simonsen,Berntsentunet 4,Lie,9808,Norge,NO,19740711-3980,+47,46382188,1974-07-11,True
Björn,Karlsson,Järnvägstorget 9,Jönköping,44897,Sverige,SE,19490802-5406,+46,08-869 93 98,1949-08-02,True
Nicholas,Wilson,Kimberly Glen 21638,West Kellyberg,39791,Danmark,DK,19701005-4133,+45,364.347.8591x719,1970-10-05,True
Scott,Goodman,Kristin Trail 12980,Alvaradoville,06738,Danmark,DK,19400405-4408,+45,429-513-8740x3724,1940-04-05,True
Steinar,Holm,Lundeberget 4,Pedersen,8522,Norge,NO,19920122-1089,+47,23558843,1992-01-22,True
Casey,Nelson,Jimenez Underpass 063,East Christopherside,24627,Danmark,DK,19831229-7100,+45,+1-824-209-3729x6550,1983-12-29,True
Daniel,Nilsson,Aspgatan 4,Linköping,67036,Sverige,SE,19500619-5097,+46,0749-698 39,1950-06-19,True
Sara,Olsson,Genstigen 48,Trollhättan,24781,Sverige,SE,19940106-9778,+46,0563-913 97,1994-01-06,True
Jani,Pietilä,Iltatähdentie 98,Keuruu,05638,Finland,FI,19830922-189C,+358,+358 73 9225308,1983-09-22,True
Ronald,Freeman,Rodriguez Harbor 9711,Younghaven,18502,Danmark,DK,19400623-9322,+45,001-361-218-7917x6815,1940-06-23,True
Joseph,Daniel,Garrett Lane 514,South Johnville,11333,Danmark,DK,19431229-7934,+45,001-355-901-6869x97674,1943-12-29,True
Gunnar,Gundersen,Johannessengjerdet 680,Gunnarstrøm,6890,Norge,NO,19860220-4006,+47,+47 73 37 17 74,1986-02-20,True
Hans,Olsson,Skolgatan 44,Kristianstad,30065,Sverige,SE,19570713-8416,+46,08-782 30 74,1957-07-13,True
Espen,Johnsen,Fredriksenlia 79,Eriksen,1018,Norge,NO,19650520-7442,+47,+4775021163,1965-05-20,True
Ulla,Eliasson,Backstigen 2,Södertälje,94452,Sverige,SE,19840511-2570,+46,091-07 16 53,1984-05-11,False
Marina,Karlsson,Björktorget 95,Borås,48529,Sverige,SE,19681217-4429,+46,0919-073 05,1968-12-17,True
Liv,Andreassen,Eriksenstykket 3,Sørensen,3517,Norge,NO,19420410-2772,+47,+47 92 58 26 46,1942-04-10,True
Lars,Eklund,Parkgränd 371,Lund,87622,Danmark,SE,20001201-1206,+46,08-089 566 47,2000-12-01,True
Mats,Nilsson,Industrigränd 136,Halmstad,74614,Sverige,SE,19640604-8383,+46,0514-386 66,1964-06-04,True
Gösta,Eriksson,Fabriksgatan 55,Uddevalla,88672,Sverige,SE,19840325-0543,+46,+46 (0)8 876 489 48,1984-03-25,True
Andrew,Williams,Anne Knoll 57889,Maddenberg,64240,Danmark,DK,19580608-5564,+45,848.951.4624x36200,1958-06-08,True
Eric,Oneal,Riggs Trail 4878,Johnsonhaven,59057,Danmark,DK,20000610-7509,+45,001-686-348-0543x2872,2000-06-10,True
Caleb,Conner,Ortega Ridges 962,Greenborough,62148,Danmark,DK,19830302-8945,+45,493.473.7908,1983-03-02,True
Erika,Pettersson,Björkvägen 3,Trollhättan,78925,Sverige,SE,19501029-4565,+46,021-081 12 02,1950-10-29,True
Laila,Amundsen,Mikkelsenrøa 2,Nguyen,0966,Norge,NO,19990629-3386,+47,42698191,1999-06-29,True
John,Kim,Jose Streets 413,Port Jefferymouth,29809,Danmark,DK,19971231-8079,+45,(458)728-9492,1997-12-31,True
Anders,Thomassen,Gunderseneggen 5,Åsebø,9098,Norge,NO,19411204-2470,+47,46541646,1941-12-04,True
Ove,Olsson,Trädgårdsgränd 089,Östersund,78331,Sverige,SE,19530527-3131,+46,045-81 23 32,1953-05-27,True
Daniel,Silva,Weeks Squares 504,North Thomas,65263,Danmark,DK,19451222-8007,+45,4186387580,1945-12-22,True
Håkon,Birkeland,Andersenkollen 6,Christensen,3300,Norge,NO,19940722-5150,+47,98966464,1994-07-22,True
Michael,Franco,Samantha Dale 53855,New Sarahberg,27562,Danmark,DK,19430605-5904,+45,921.980.1351x4303,1943-06-05,True
Mikael,Andersson,Fabrikstorget 47,Nyköping,36550,Sverige,SE,19440322-9628,+46,08-199 858 02,1944-03-22,True
Knut,Eriksson,Kyrkostigen 375,Sandviken,70497,Sverige,SE,19681114-9028,+46,0529-00 66 41,1968-11-14,True
Patrik,Koivisto,Saanatunturinpolku 1,Padasjoki,23374,Finland,FI,19631201-364M,+358,0190105939,1963-12-01,True
Sigurd,Haugen,Hansenhøgda 6D,Eriksen,3886,Norge,NO,19981006-2273,+47,+47 40 11 65 64,1998-10-06,True
Shaun,Jacobs,Scott Walks 693,Lake Jesseburgh,91108,Danmark,DK,19661129-2264,+45,+1-700-316-8332x5331,1966-11-29,True
Marianne,Hermansson,Ringstigen 6,Gävle,35808,Sverige,SE,19610930-9227,+46,+46 (0)64 11 39 94,1961-09-30,True
Cecilia,Eriksson,Ringgränd 0,Mölndal,93751,Sverige,SE,19490211-9293,46,0527-84 51 91,1949-02-11,True
Jarmo,Pitkänen,Laakavuorentie 9,Hyrynsalmi,01871,Finland,FI,19680503-418A,+358,(+358) 831085886,1968-05-03,True
Erik,Pettersson,Skogsstigen 474,Varberg,84324,Sverige,SE,19711006-6537,+46,+46 (0)316 740 83,1971-10-06,True
Arne,Andersson,Bäckgränd 342,Falun,58680,Sverige,SE,19910516-1436,+46,0070-37 31 26,1991-05-16,True
Mona,Berge,Haugeggen 04,Olavsand,4265,Norge,NO,19690731-5089,+47,17427803,1969-07-31,True
Ingela,Andersson,Ringtorget 74,Malmö,49159,Sverige,SE,19760604-8567,+46,+46 (0)8 263 610 65,1976-06-04,True
Ivar,Dahlberg,Fabriksgatan 9,Halmstad,92328,Sverige,SE,19620620-5476,+46,+46 (0)8 574 140 94,1962-06-20,True
Sofie,Hauge,Danielsenkollen 4,Mikkelsen,7936,Norge,NO,19430302-8708,+358,413 84 866,1943-03-02,True
Sebastian,Karlsson,Kyrkvägen 95,Alingsås,42769,Sverige,SE,19840513-9929,+46,08-121 397 57,1984-05-13,True
Leif,Larsson,Genvägen 39,Örebro,56671,Sverige,SE,20000611-9883,+46,0137-10 43 61,2000-06-11,True
Kayla,Mora,Tim Expressway 699,Bakerchester,45212,Danmark,DK,19680511-6787,+45,+1-209-311-3272,1968-05-11,True
Karl,Johansson,Asptorget 17,Eskilstuna,47746,Sverige,SE,19401114-4527,+46,08-642 01 24,1940-11-14,True
Emil,Eriksson,Ängsgränd 4,Örebro,74848,Sverige,SE,19911219-1803,+46,0678-917 90,1991-12-19,True
Marianne,Johansson,Kvarnstigen 9,Eskilstuna,38225,Sverige,SE,19930528-2536,+46,0197-96 84 54,1993-05-28,True
Lars,Tveit,Mathisenåsen 3,Frodesand,9934,Norge,NO,19870502-2727,+47,81 57 53 81,1987-05-02,True
Ryan,Gould,Lisa Locks 76759,Lake Brianfort,26721,Danmark,DK,19841103-0678,+45,410.579.3675,1984-11-03,True
Paul,Allen,Mary Mall 90030,Port Andrew,59748,Danmark,DK,19450225-0826,+45,489.500.7772,1945-02-25,True
Anna,Axelsson,Grangatan 697,Norrköping,28883,Sverige,SE,19650428-6134,+46,+46 (0)8 392 327 43,1965-04-28,True
Nora,Jacobsen,Ellingsensvingen 66,Tveit,1029,Norge,NO,19410218-5435,+47,66 98 36 39,1941-02-18,True
Eva,Andersson,Strandgatan 33,Västerås,28209,Sverige,SE,19880828-3530,+46,+46 (0)676 982 16,1988-08-28,True
Johnny,Wu,Hensley Spring 44870,Melissastad,24663,Danmark,DK,19420124-7629,+45,+1-879-636-2388x7564,1942-01-24,True
Cody,Berry,Brown Lake 49985,New Territon,96022,Norge,DK,19510513-7648,+45,2505997610,1951-05-13,True
Karl,Dahl,Henriksenhagen 13,Arildberg,8652,Norge,NO,19731223-8920,+47,458 03 267,1973-12-23,True
Irene,Rønning,Brekkehaugen 86,Stigby,3695,Norge,NO,19500317-5100,+47,94465317,1950-03-17,True
Karin,Johansson,Kyrkgatan 688,Borås,14884,Sverige,SE,19570308-4561,+46,+46 (0)75 58 18 11,1957-03-08,True
Karin,Johansson,Fabriksgatan 526,Uddevalla,51093,Sverige,SE,19791121-9658,+46,08-78 46 78,1979-11-21,True
Jon,Svendsen,Ødegårdplassen 4,Andreassen,0994,Norge,NO,19770531-4624,+47,928 14 982,1977-05-31,True
Anna,Nordström,Järnvägsgränd 86,Lidköping,87493,Sverige,SE,19450401-4135,+46,017-88 12 15,1945-04-01,True
Rhonda,Davis,Hester Creek 4235,Port Sethport,09995,Danmark,DK,19490712-8879,+45,366.387.2963,1949-07-12,True
Elin,Thorsen,Ahmedstranda 6,Dahl,6177,Norge,NO,19961106-3749,+47,58109092,1996-11-06,True
Ingegerd,Nilsson,Ekgränd 866,Örnsköldsvik,34086,Sverige,SE,19970626-4144,+46,088-94 13 85,1997-06-26,True
Oskari,Komulainen,Uskalikonbulevardi 82,Pedersören kunta,24210,Finland,FI,19900520-0953,+358,071 588 2922,1990-05-20,True
Kenneth,Jensen,Nguyenalléen 6,Larsen,3392,Norge,NO,19620501-4034,+47,41686588,1962-05-01,True
Sigvard,Johansson,Kyrkgatan 1,Eskilstuna,61818,Sverige,SE,19661106-6087,+46,+46 (0)255 235 98,1966-11-06,True
Anton,Pedersen,Parkgatan 74,Norrköping,58490,Sverige,SE,19630704-8736,+46,+46 (0)204 942 22,1963-07-04,True
James,Martin,Leonard Ridge 74245,Christopherberg,83320,Danmark,DK,19841219-3891,+45,644.801.2198,1984-12-19,True
Siv,Karlsson,Strandgränd 872,Linköping,70165,Sverige,SE,19740322-4779,+46,0601-533 18,1974-03-22,True
Gunilla,Larsson,Kvarnstigen 654,Norrköping,72185,Sverige,SE,19641222-4673,+46,081-123 45 56,1964-12-22,True
Janice,Livingston,Amanda Shore 85290,Port Andre,49903,Danmark,DK,19731010-9765,+45,708.449.2848x6403,1973-10-10,True
Brenda,Hancock,Thomas Station 75632,South Joanberg,00746,Danmark,DK,19621003-5144,+45,(834)678-2055,1962-10-03,True
Mathew,Carroll,Morgan Pass 483,Port Lance,22884,Danmark,DK,19610416-4248,+45,811.979.7251x1138,1961-04-16,True
Johanna,Heino,Tuomarinkylänkuja 5,Luoto,84651,Finland,FI,19691205-240U,+358,+358 303388844,1969-12-05,True
Kristina,Persson,Björkvägen 15,Kalmar,17254,Sverige,SE,19810908-1782,+46,+46 (0)8 171 828 93,1981-09-08,True
Andrea,Scott,Moon Village 70395,Lake Kimberly,35397,Finland,DK,19541221-6503,+45,+1-964-805-7573x970,1954-12-21,True
Johanna,Jansson,Stationstorget 671,Sundsvall,77290,Sverige,SE,19960524-2781,+46,08-471 83 10,1996-05-24,True
Tobias,Henriksson,Ängsgränd 114,Västerås,34609,Danmark,SE,19521007-3710,+46,08-33 06 44,1952-10-07,True
Angela,Neal,Collins Ports 4028,Dillonborough,95970,Danmark,DK,19790708-1559,+45,437.348.1099,1979-07-08,True
Linnéa,Karlsson,Skolvägen 26,Varberg,55285,Sverige,SE,19851206-5534,+46,0170-34 19 59,1985-12-06,True
Björn,Andersson,Ekvägen 041,Linköping,90002,Sverige,SE,19970211-5563,+46,+46 (0)8 538 668 08,1997-02-11,True
Olof,Malm,Skolgränd 2,Borås,53301,Sverige,SE,19481107-9470,+46,+46 (0)563 193 37,1948-11-07,True
Helge,Paulsen,Bakkerøa 4,Andershamn,2516,Norge,NO,19800202-6051,+47,17 81 61 09,1980-02-02,True
Jacqueline,Duncan,Rodriguez Pike 947,Markshire,25676,Danmark,DK,19540211-5773,+45,(642)547-1670x34735,1954-02-11,True
Tor,Engen,Myklebusttunet 7A,Arnenes,7287,Norge,NO,19540608-7816,+47,+47 76 77 92 52,1954-06-08,True
Hans,Johansson,Parkgränd 4,Trollhättan,89611,Sverige,SE,19820223-7698,+46,08-48 69 31,1982-02-23,True
Gunnar,Larsson,Parkgatan 360,Örebro,18812,Sverige,SE,19570627-0001,+46,08-826 09 62,1957-06-27,True
Morten,Bakke,Knudsenstubben 88,Erikdal,7859,Norge,NO,19510116-9217,+47,42239203,1951-01-16,True
Torbjørn,Haugland,Sørensenplassen 13,Vidarfjell,5262,Norge,NO,19851107-3867,+47,65 49 02 85,1985-11-07,True
Sverre,Ahmed,Nygårdstien 42,Haugland,5292,Norge,NO,19430202-2378,+47,03 80 35 34,1943-02-02,True
Carrie,Short,Hutchinson Ramp 2159,South Carrieborough,96429,Danmark,DK,19861221-8678,+45,(209)857-6105,1986-12-21,False
John,Greene,Cox Knolls 3402,Sarahburgh,23429,Danmark,DK,19601213-6641,+45,(519)890-9607x7149,1960-12-13,True
Torill,Jacobsen,Gundersenåsen 04,Fredrikby,1005,Norge,NO,19570623-5611,+47,93550106,1957-06-23,True
Carla,Acevedo,Joseph Creek 102,East Tammy,58167,Danmark,DK,19970607-0075,+45,695.450.0122,1997-06-07,True
Siv,Karlsen,Haugenskrenten 07,Greteodden,5525,Norge,NO,19490707-4035,+47,473 88 329,1949-07-07,True
Karin,Svensson,Strandgatan 34,Falun,49813,Sverige,SE,19571122-9256,+46,013-668 80 93,1957-11-22,True
Andrew,Brown,Gill Underpass 54174,Christopherport,59036,Danmark,DK,19951025-4431,+45,523.256.7243,1995-10-25,True
Irene,Holmgren,Industrivägen 630,Örnsköldsvik,18079,Sverige,SE,19960424-6862,+46,08-68 70 54,1996-04-24,True
Sten,Nyberg,Strandvägen 554,Borås,85335,Sverige,SE,19831122-7078,+46,0043-78 53 15,1983-11-22,True
Tobias,Bergström,Ringgatan 2,Kristianstad,47472,Sverige,SE,19930803-2658,+46,08-987 85 03,1993-08-03,True
Anna,Dahlgren,Genstigen 616,Södertälje,62296,Sverige,SE,19420923-4701,+46,+46 (0)8 761 795 87,1942-09-23,True
Roar,Ahmed,Hauglandløkka 67,Eirikeid,7724,Norge,NO,19630506-0519,+47,10 60 87 74,1963-05-06,True
Maria,Lindström,Parktorget 8,Luleå,72966,Sverige,SE,19910428-3592,+46,0718-750 47,1991-04-28,True
Holly,West,Lopez Port 01553,Joshuabury,70613,Danmark,DK,19510322-7890,+45,001-261-968-4338x51289,1951-03-22,True
Anders,Fredriksson,Aspgränd 47,Malmö,60336,Sverige,SE,19440720-3902,+46,015-88 39 64,1944-07-20,True
Åke,Petersson,Ringgatan 4,Sandviken,33234,Sverige,SE,19410125-2405,+46,+46 (0)815 653 55,1941-01-25,True
Sven,Friberg,Kvarngatan 658,Sandviken,80249,Sverige,SE,19761224-5935,+46,08-198 442 44,1976-12-24,True
Kim,Antonsen,Sæthergrenda 6,Arneby,4689,Norge,NO,19460420-6215,+47,43005560,1946-04-20,True
Stian,Christensen,Bøegjerdet 90D,Tonefjell,4485,Norge,NO,19480119-2561,+47,90073243,1948-01-19,True
Sarah,Williams,Thompson Prairie 5557,New Amber,38378,Danmark,DK,19430407-2008,+45,922-673-1092x308,1943-04-07,True
Malin,Ruud,Aasenrøa 91A,Wenchebø,6888,Norge,NO,19530729-6655,+47,95 39 95 79,1953-07-29,True
Anita,Olsson,Parkvägen 8,Kristianstad,23977,Sverige,SE,19780506-8012,+46,010-27 00 13,1978-05-06,True
Astrid,Johansson,Kyrkotorget 79,Lidingö,29689,Sverige,SE,19831006-3498,+46,0319-259 94,1983-10-06,True
Stig,Nilsson,Kyrkvägen 6,Alingsås,70959,Sverige,SE,19761018-4201,+46,08-548 64 33,1976-10-18,True
Joakim,Lind,Björkvägen 9,Malmö,71998,Sverige,SE,19600520-9056,+46,0039-72 27 29,1960-05-20,True
Michele,Johnson,Collins River 852,Davidborough,50652,Danmark,DK,19710330-0506,+45,001-204-267-1944x447,1971-03-30,True
Britta,Bengtsson,Fabriksstigen 22,Trollhättan,23657,Sverige,SE,19501105-1991,+46,011-00 82 94,1950-11-05,True
Lisa,Karlsson,Parkstigen 3,Borlänge,23867,Sverige,SE,19950127-7665,+46,+46 (0)8 252 982 08,1995-01-27,True
Laura,Nieminen,Lautamiehenpolku 41,Sauvo,13038,Finland,FI,19950726-769M,+358,+358 374831652,1995-07-26,True
Göran,Hedlund,Backvägen 3,Örnsköldsvik,35308,Sverige,SE,19570617-6569,+46,018-618 71 98,1957-06-17,True
Thomas,Nilsson,Strandgatan 4,Borlänge,45577,Sverige,SE,19840411-6799,+46,+46 (0)788 193 56,1984-04-11,True
Thomas,Hayes,Sherry Springs 38784,South George,46838,Danmark,DK,19440722-8318,+45,(706)485-8617x9865,1944-07-22,True
Stian,Eide,Nilsengata 3,Frodeby,1419,Norge,NO,19960707-2747,+47,39389230,1996-07-07,True
Lennart,Eriksson,Genvägen 171,Sandviken,30737,Sverige,SE,19400217-5386,+46,08-177 61 10,1940-02-17,True
Jorunn,Paulsen,Andersengrenda 7,Monicamark,2768,Norge,NO,19640222-2053,+47,+47 10 67 84 40,1964-02-22,False
Sofia,Björk,Kyrkgatan 9,Helsingborg,57918,Sverige,SE,19540208-0068,+46,0221-83 55 23,1954-02-08,True
Alfred,Möller,Trädgårdsgatan 74,Luleå,43074,Sverige,SE,19400322-8766,+46,+46 (0)237 157 09,1940-03-22,True
Olle,Hedman,Järnvägsgatan 1,Ängelholm,26455,Sverige,SE,19911103-7989,+46,+46 (0)026 231 27,1991-11-03,True
Martin,Gustafsson,Storgränd 639,Jönköping,15703,Sverige,SE,19870821-9835,+46,08-762 595 61,1987-08-21,True
Lars,Nyström,Idrottsvägen 08,Trelleborg,69881,Sverige,SE,19740712-5389,+46,08-523 86 19,1974-07-12,True
Åke,Lund,Nytorget 09,Örnsköldsvik,68144,Sverige,SE,19561028-9701,+46,020-05 42 40,1956-10-28,True
Linda,Johnson,Lynn Gardens 41558,Williamsshire,18082,Danmark,DK,19551018-0209,+45,(828)262-1558x110,1955-10-18,True
